Ticket_ID,Name,Gender,City_From,City_To,Price
18-0299762,Knutsen,M,Rostov-on-Don,Moscow,$12.82
85-9650170,Casiroli,F,Moscow,Rostov-on-Don,$7.14
76-0635489,Witnall,M,Rostov-on-Don,Moscow,$13.49
26-2591125,Lydiard,F,Rostov-on-Don,Moscow,$14.33
79-4485786,Waples,F,Voronezh,Moscow,$12.37
39-2303243,Lagde,M,Stavropol,Moscow,$5.21
68-5332497,Studders,F,Rostov-on-Don,Stavropol,$12.78
48-5566054,Gifford,F,Moscow,Moscow,$10.41
82-8725286,McGonnell,F,Stavropol,Stavropol,$9.98
17-2201549,Lycett,M,Rostov-on-Don,Rostov-on-Don,$11.87
82-0631340,Duckwith,M,Voronezh,Voronezh,$6.45
98-1656404,Maevela,M,Voronezh,Rostov-on-Don,$6.01
79-4306102,Opie,M,Voronezh,Rostov-on-Don,$6.87
65-7835197,Klimkovich,F,Voronezh,Voronezh,$12.88
51-3659813,Murrow,M,Stavropol,Voronezh,$6.19
87-1997464,Caveney,M,Voronezh,Voronezh,$9.03
83-3843659,Ballsdon,M,Rostov-on-Don,Stavropol,$9.25
85-6494707,Kellick,F,Moscow,Moscow,$9.23
42-4733657,Oxtoby,F,Moscow,Stavropol,$5.18
45-8017504,Coxen,F,Rostov-on-Don,Voronezh,$11.03
97-6821173,Rennenbach,M,Stavropol,Voronezh,$6.71
31-4111010,Vedishchev,F,Voronezh,Stavropol,$11.79
02-1369901,McDarmid,M,Rostov-on-Don,Rostov-on-Don,$12.65
86-5328607,Gabbett,F,Moscow,Rostov-on-Don,$11.15
24-2318268,Hail,F,Stavropol,Voronezh,$12.87
70-7928688,Plumer,M,Moscow,Voronezh,$13.29
88-3432653,Martinolli,M,Moscow,Rostov-on-Don,$11.32
54-2675922,Rosenberg,F,Voronezh,Moscow,$10.51
49-6018259,Mutimer,F,Moscow,Stavropol,$11.30
48-7793102,Slorach,F,Voronezh,Moscow,$14.86
51-9885235,Moline,F,Stavropol,Voronezh,$7.30
58-2713778,Goodwin,M,Rostov-on-Don,Rostov-on-Don,$14.99
22-9004997,Mannagh,F,Voronezh,Stavropol,$14.14
60-5215218,Heamus,M,Moscow,Moscow,$13.01
09-6177453,Ledson,F,Stavropol,Rostov-on-Don,$13.62
67-2432747,Martinovsky,M,Voronezh,Stavropol,$7.49
68-1837813,Jakel,F,Rostov-on-Don,Rostov-on-Don,$9.80
66-5394107,Plevin,M,Stavropol,Rostov-on-Don,$7.46
27-4929328,McKinie,F,Voronezh,Rostov-on-Don,$7.38
97-6399211,Wethey,F,Moscow,Rostov-on-Don,$11.70
14-1266419,Whitwham,M,Moscow,Rostov-on-Don,$12.36
54-1232140,Mateuszczyk,F,Stavropol,Voronezh,$7.14
11-0444853,McCosh,M,Stavropol,Voronezh,$10.22
12-6316777,Bremen,F,Rostov-on-Don,Stavropol,$12.71
41-4903347,Piscopiello,F,Stavropol,Voronezh,$11.14
07-1577115,Rumens,M,Stavropol,Rostov-on-Don,$6.57
77-0799069,Furmedge,F,Moscow,Voronezh,$14.37
66-5698060,Alabone,F,Voronezh,Stavropol,$7.74
86-3728441,O'Hannigan,M,Rostov-on-Don,Voronezh,$9.26
03-4522816,Scotfurth,F,Stavropol,Moscow,$14.56
23-0790542,Treagus,F,Rostov-on-Don,Stavropol,$14.84
11-9075336,Corneljes,F,Rostov-on-Don,Rostov-on-Don,$10.71
18-4178963,Dupree,F,Stavropol,Voronezh,$14.20
35-8048367,Obal,F,Voronezh,Stavropol,$10.05
85-1957919,Terrans,F,Moscow,Voronezh,$9.53
54-9367878,Neesham,F,Voronezh,Rostov-on-Don,$8.24
99-1185005,Polon,M,Moscow,Voronezh,$6.53
46-2829609,Wippermann,F,Stavropol,Voronezh,$7.60
47-9173060,Parlet,M,Moscow,Stavropol,$10.33
48-1178987,Cameli,M,Rostov-on-Don,Moscow,$10.38
56-0821513,Rany,M,Moscow,Stavropol,$14.84
41-8078477,Angove,F,Stavropol,Stavropol,$7.18
56-0985807,Stenson,F,Stavropol,Voronezh,$9.89
89-4458934,Candwell,M,Voronezh,Moscow,$13.55
88-7478367,Prene,M,Moscow,Voronezh,$8.66
72-7832932,Palfrey,M,Stavropol,Voronezh,$9.87
54-4824529,Pullen,F,Rostov-on-Don,Moscow,$12.08
92-9652386,Obern,M,Moscow,Rostov-on-Don,$15.00
17-7237384,Cottham,F,Voronezh,Moscow,$12.98
32-3895604,Foot,F,Voronezh,Voronezh,$9.25
82-6123586,Windham,M,Rostov-on-Don,Stavropol,$13.87
85-2431817,Braker,M,Voronezh,Moscow,$8.40
12-1350551,Boocock,F,Rostov-on-Don,Moscow,$8.12
05-0255954,Slowcock,M,Voronezh,Moscow,$9.57
09-7949926,Picford,M,Stavropol,Stavropol,$9.35
81-8651237,Staziker,F,Voronezh,Rostov-on-Don,$14.07
29-6479351,Glavis,F,Moscow,Stavropol,$5.91
25-7069680,Kann,F,Rostov-on-Don,Stavropol,$6.22
59-3449494,Duffie,M,Stavropol,Voronezh,$8.58
10-7925540,Visco,F,Rostov-on-Don,Rostov-on-Don,$9.78
19-0412633,Gersam,F,Stavropol,Voronezh,$9.34
25-9217837,Litel,M,Stavropol,Rostov-on-Don,$6.34
73-4894180,Casaccio,F,Voronezh,Voronezh,$9.48
91-5109860,Enrigo,M,Moscow,Stavropol,$13.14
61-6397574,Moggan,M,Rostov-on-Don,Moscow,$14.19
63-9525340,Vlasyev,M,Voronezh,Rostov-on-Don,$13.80
00-0350933,Dudderidge,F,Rostov-on-Don,Stavropol,$5.70
37-5282386,McReidy,F,Voronezh,Stavropol,$10.12
88-6999146,Dogerty,F,Voronezh,Rostov-on-Don,$5.35
79-9406197,Hartin,F,Stavropol,Stavropol,$5.23
63-7663211,Fero,M,Voronezh,Moscow,$12.99
29-6453837,Jagels,F,Moscow,Stavropol,$12.37
75-5706752,Buggy,M,Rostov-on-Don,Moscow,$7.83
79-0698276,Suerz,F,Rostov-on-Don,Moscow,$7.93
01-8852397,Woolgar,M,Voronezh,Stavropol,$6.59
81-6809521,Croisdall,F,Rostov-on-Don,Moscow,$9.33
95-1818120,Chrispin,M,Rostov-on-Don,Stavropol,$14.52
09-5638060,Nealy,F,Voronezh,Rostov-on-Don,$9.48
21-4729165,Baynton,M,Voronezh,Stavropol,$10.38
85-0520640,Halfacre,M,Stavropol,Stavropol,$9.74
36-0819982,Dufall,F,Stavropol,Rostov-on-Don,$14.08
05-2537941,Guthrie,M,Voronezh,Rostov-on-Don,$14.67
49-8436166,Swynley,F,Stavropol,Rostov-on-Don,$5.81
66-0897016,Della Scala,F,Voronezh,Rostov-on-Don,$11.58
23-1789967,Stobbe,F,Rostov-on-Don,Rostov-on-Don,$13.86
62-0214635,Dunstan,F,Stavropol,Rostov-on-Don,$5.35
92-8747362,Domino,M,Rostov-on-Don,Rostov-on-Don,$14.60
58-4766798,Gilman,F,Voronezh,Moscow,$7.95
66-0695306,Ogilvy,M,Voronezh,Voronezh,$13.39
00-3800265,Habbes,F,Stavropol,Stavropol,$10.90
33-6025841,Frounks,M,Rostov-on-Don,Voronezh,$6.14
09-7701106,MacClure,F,Stavropol,Voronezh,$13.60
44-9629586,Crowden,M,Rostov-on-Don,Voronezh,$9.52
89-4769622,Grote,F,Stavropol,Rostov-on-Don,$6.68
69-7376949,Kubera,F,Stavropol,Stavropol,$7.94
34-2704109,Dumberell,M,Rostov-on-Don,Rostov-on-Don,$10.78
78-5627125,Caplen,M,Stavropol,Stavropol,$7.78
84-0904742,Gealy,F,Stavropol,Voronezh,$11.53
81-1055789,Crawcour,M,Moscow,Voronezh,$13.69
43-1281376,Philippon,M,Rostov-on-Don,Voronezh,$12.70
79-5633625,Sowrey,F,Rostov-on-Don,Moscow,$5.88
44-4041532,McRory,F,Stavropol,Moscow,$8.59
50-2388015,Lukasik,M,Voronezh,Rostov-on-Don,$11.69
08-1127065,Wimpenny,F,Voronezh,Moscow,$7.15
94-0483367,Stroud,M,Stavropol,Moscow,$14.65
80-9196959,Cochrane,M,Moscow,Moscow,$7.69
19-5722675,Cunniam,F,Voronezh,Moscow,$10.36
31-9367504,Isack,M,Rostov-on-Don,Stavropol,$11.32
55-4780187,de Banke,M,Stavropol,Rostov-on-Don,$11.87
21-1569242,Wadie,F,Rostov-on-Don,Stavropol,$12.92
51-2545976,Ridolfi,F,Moscow,Rostov-on-Don,$8.39
96-8694069,Crosier,M,Moscow,Stavropol,$9.00
52-9792581,Kaaskooper,M,Stavropol,Voronezh,$12.65
02-8439688,Bice,F,Stavropol,Voronezh,$5.11
62-0378675,Forbes,F,Voronezh,Voronezh,$13.57
76-2909506,Gerretsen,F,Moscow,Voronezh,$8.80
49-9860879,Steffans,F,Voronezh,Rostov-on-Don,$12.67
82-7488265,Dandy,M,Rostov-on-Don,Stavropol,$14.86
66-3646643,Starte,F,Moscow,Stavropol,$14.03
80-4773036,Carmo,F,Moscow,Voronezh,$9.66
38-8897878,Attac,F,Rostov-on-Don,Stavropol,$10.32
76-6169197,Pethick,F,Stavropol,Voronezh,$7.65
43-4176580,Fitton,M,Voronezh,Stavropol,$10.68
52-6114988,Ashpole,F,Stavropol,Moscow,$12.74
90-3313946,Yusupov,M,Rostov-on-Don,Moscow,$8.46
11-7185166,Abbati,F,Moscow,Voronezh,$10.08
06-0969926,Bendell,M,Voronezh,Moscow,$6.38
50-3949042,Bode,M,Voronezh,Rostov-on-Don,$13.12
36-6861674,Crocombe,F,Voronezh,Moscow,$7.96
63-1827378,Waddingham,M,Rostov-on-Don,Voronezh,$11.27
38-8288724,Zanettini,F,Voronezh,Moscow,$8.97
39-3997169,Harfoot,M,Voronezh,Voronezh,$14.16
81-4421615,Downage,M,Voronezh,Moscow,$14.78
28-0305652,Oattes,F,Rostov-on-Don,Voronezh,$11.39
41-5644692,Lethibridge,M,Moscow,Voronezh,$8.09
12-2326703,Mussen,M,Voronezh,Moscow,$6.63
13-1672045,Braham,F,Stavropol,Voronezh,$14.21
32-7678053,Akister,M,Rostov-on-Don,Voronezh,$5.02
59-8479425,Cannings,M,Moscow,Voronezh,$6.58
89-0435266,Kelcher,M,Moscow,Rostov-on-Don,$6.69
36-0162159,Feragh,F,Voronezh,Voronezh,$7.05
79-3281606,Gabbat,F,Rostov-on-Don,Voronezh,$6.78
29-6286083,Skittle,F,Stavropol,Rostov-on-Don,$9.80
43-7543434,Brantl,M,Voronezh,Stavropol,$12.67
15-6752188,Altree,F,Voronezh,Rostov-on-Don,$13.14
87-2469180,Downey,M,Stavropol,Stavropol,$10.40
79-7927114,Ellul,F,Moscow,Moscow,$14.40
65-0048555,Nockolds,F,Moscow,Stavropol,$13.66
10-6840816,Willford,M,Stavropol,Moscow,$12.38
06-6267658,Cottie,F,Rostov-on-Don,Stavropol,$9.43
51-9792860,Browne,F,Rostov-on-Don,Voronezh,$9.04
21-1485786,Balchen,M,Moscow,Voronezh,$13.80
85-3073156,O'Hanlon,F,Moscow,Rostov-on-Don,$5.08
29-9062072,Gateshill,M,Voronezh,Moscow,$13.11
69-0331433,Acton,F,Moscow,Stavropol,$5.04
51-3250696,Florey,F,Stavropol,Rostov-on-Don,$6.45
64-1371316,Lapre,F,Stavropol,Voronezh,$7.45
71-3686890,Impey,M,Stavropol,Voronezh,$11.71
33-5338797,Brushfield,F,Rostov-on-Don,Moscow,$9.34
93-6138794,Drugan,M,Moscow,Rostov-on-Don,$9.66
07-7296498,McCauley,M,Stavropol,Voronezh,$10.40
23-8615269,Eldrid,M,Voronezh,Rostov-on-Don,$5.60
94-4854485,Quarlis,F,Moscow,Rostov-on-Don,$6.48
01-6831453,Ghiraldi,M,Rostov-on-Don,Rostov-on-Don,$12.85
15-9314505,Coxen,M,Rostov-on-Don,Moscow,$13.13
04-4008434,Rallings,F,Voronezh,Stavropol,$10.86
52-8621416,Rolf,F,Moscow,Moscow,$8.85
24-3354495,Coslitt,F,Voronezh,Voronezh,$9.28
85-5425904,Bleier,F,Stavropol,Voronezh,$6.79
40-4598859,Traill,F,Voronezh,Voronezh,$10.54
20-4227718,Leither,F,Rostov-on-Don,Stavropol,$6.38
17-4635824,Dominichelli,M,Stavropol,Voronezh,$13.79
91-7470737,Emsden,F,Stavropol,Voronezh,$5.36
42-2906954,Baumber,F,Voronezh,Rostov-on-Don,$13.62
50-1635748,Lambeth,M,Voronezh,Stavropol,$6.91
13-7012654,Hancke,M,Rostov-on-Don,Stavropol,$8.86
88-9442136,De Gregario,M,Voronezh,Stavropol,$6.51
68-8847043,Eborall,M,Rostov-on-Don,Voronezh,$11.97
89-4207939,Jansens,M,Rostov-on-Don,Moscow,$14.77
10-5322051,Kemery,M,Moscow,Voronezh,$5.14
73-4482078,Jepson,F,Voronezh,Moscow,$7.29
10-9440985,Pilgrim,M,Rostov-on-Don,Rostov-on-Don,$7.23
37-3091374,Kernocke,F,Stavropol,Voronezh,$14.18
15-7930717,Tetla,M,Moscow,Voronezh,$10.42
39-2600292,Di Domenico,M,Moscow,Stavropol,$12.86
96-9663257,Emney,F,Moscow,Stavropol,$14.91
05-7402173,Shutte,M,Stavropol,Moscow,$12.05
09-7315078,Getten,M,Moscow,Moscow,$12.22
18-7773461,Marushak,M,Voronezh,Rostov-on-Don,$10.19
75-0499291,Leedal,F,Stavropol,Rostov-on-Don,$12.68
67-8869310,Wagstaff,M,Rostov-on-Don,Voronezh,$6.10
08-9950118,Scardefield,M,Moscow,Stavropol,$12.09
97-7879306,Zanutti,M,Moscow,Moscow,$8.61
20-6851739,Brundle,M,Rostov-on-Don,Moscow,$9.83
83-5755541,Hawney,M,Voronezh,Moscow,$14.91
34-6103999,Doorey,F,Voronezh,Moscow,$14.18
08-4936273,Sudran,M,Stavropol,Moscow,$7.10
32-5361558,Scrooby,M,Stavropol,Stavropol,$12.08
51-2553623,Tyrwhitt,F,Stavropol,Stavropol,$11.12
03-5756863,Tranmer,M,Moscow,Rostov-on-Don,$12.10
43-9041896,Withur,F,Moscow,Voronezh,$7.81
05-5478139,Ormshaw,M,Rostov-on-Don,Voronezh,$10.20
93-9388697,Letty,M,Moscow,Stavropol,$8.38
39-9701444,Hamor,F,Stavropol,Moscow,$13.48
95-5389685,Langworthy,F,Stavropol,Rostov-on-Don,$14.49
59-7195999,Jellico,F,Moscow,Moscow,$9.41
04-4248638,Dulling,M,Stavropol,Moscow,$10.94
13-8647848,Masselin,F,Moscow,Stavropol,$14.74
74-9204621,Wanek,M,Voronezh,Rostov-on-Don,$13.19
17-2139891,Courcey,F,Moscow,Stavropol,$12.92
23-2920080,Pym,M,Moscow,Voronezh,$11.24
69-1242799,Mensler,M,Moscow,Rostov-on-Don,$10.11
11-6428348,Mullinger,F,Rostov-on-Don,Moscow,$7.21
76-7802054,Dunsmuir,M,Stavropol,Rostov-on-Don,$12.36
60-8813791,Roydon,F,Moscow,Stavropol,$5.74
04-0365008,Cadamy,M,Voronezh,Voronezh,$8.51
23-3976830,Wise,F,Rostov-on-Don,Voronezh,$9.37
53-0960064,Mulliner,F,Moscow,Moscow,$13.22
81-1150680,Cowoppe,F,Stavropol,Stavropol,$12.63
61-7771687,McGaughey,M,Voronezh,Moscow,$14.56
13-0469425,Lighton,M,Rostov-on-Don,Voronezh,$14.03
53-8903006,Ourtic,F,Moscow,Rostov-on-Don,$9.78
83-7759207,Fridd,F,Stavropol,Voronezh,$13.91
28-6580023,Frisch,M,Stavropol,Moscow,$14.72
28-4700551,Stubbings,M,Rostov-on-Don,Voronezh,$5.70
88-9086510,Muro,F,Stavropol,Rostov-on-Don,$8.04
42-9281823,Merrill,F,Voronezh,Stavropol,$12.10
93-7437073,Andrieux,F,Stavropol,Rostov-on-Don,$12.72
04-4758058,Singleton,F,Moscow,Voronezh,$5.38
38-2144152,Mathevet,M,Rostov-on-Don,Voronezh,$6.00
84-8110988,Esche,F,Voronezh,Stavropol,$7.43
17-0533698,Saban,M,Rostov-on-Don,Stavropol,$9.03
53-9663785,Nudds,F,Voronezh,Rostov-on-Don,$12.90
99-1819584,Tyndall,M,Voronezh,Rostov-on-Don,$11.66
11-8261171,Giacomucci,F,Moscow,Stavropol,$10.57
61-5467586,Winton,M,Rostov-on-Don,Stavropol,$11.18
65-2769668,Lammerts,F,Voronezh,Moscow,$14.18
58-0530090,Dargie,M,Moscow,Voronezh,$10.02
20-8795608,Woosnam,F,Moscow,Voronezh,$7.06
62-5959709,Trusler,F,Stavropol,Voronezh,$8.62
95-4813784,Harrell,F,Stavropol,Stavropol,$13.67
95-3930370,Dwelling,F,Moscow,Voronezh,$8.26
19-6153469,Fidele,F,Rostov-on-Don,Rostov-on-Don,$12.91
89-8041842,Garriock,M,Voronezh,Stavropol,$9.90
90-8902765,McHarry,M,Voronezh,Moscow,$5.38
05-4594416,Corder,F,Rostov-on-Don,Rostov-on-Don,$5.95
49-4722430,Blackie,F,Stavropol,Voronezh,$5.86
73-4728403,Ecclestone,M,Rostov-on-Don,Stavropol,$9.99
99-4747626,Passmore,M,Voronezh,Voronezh,$8.58
75-0300935,Rieme,F,Stavropol,Stavropol,$5.17
33-6001429,Woolbrook,M,Stavropol,Stavropol,$14.55
05-9463706,Leguay,F,Rostov-on-Don,Voronezh,$14.00
81-1490988,McOwan,M,Stavropol,Stavropol,$5.03
24-2960855,Lung,F,Moscow,Moscow,$13.49
01-7742469,Barrowcliffe,F,Stavropol,Stavropol,$7.69
84-7986823,Buckthorpe,M,Voronezh,Stavropol,$9.13
38-2183490,Chantree,F,Rostov-on-Don,Voronezh,$10.25
99-8517364,Buckley,M,Stavropol,Voronezh,$9.78
34-3040689,Cromley,F,Moscow,Rostov-on-Don,$8.17
29-3692773,Enoch,F,Moscow,Moscow,$11.23
39-2653688,Pellamont,F,Voronezh,Stavropol,$9.33
53-1954540,Izatson,M,Rostov-on-Don,Rostov-on-Don,$9.22
31-1849344,Boch,M,Stavropol,Stavropol,$14.84
63-6084783,Watford,F,Voronezh,Stavropol,$11.26
60-0316993,Bodycombe,M,Voronezh,Stavropol,$6.64
95-5993319,Oxbury,M,Voronezh,Rostov-on-Don,$10.78
54-3839804,Yankeev,F,Rostov-on-Don,Rostov-on-Don,$9.94
12-0341852,Grice,M,Moscow,Moscow,$9.76
14-7339107,Maggs,M,Moscow,Stavropol,$9.40
89-0490552,Duddle,F,Stavropol,Voronezh,$8.38
91-9379674,Cayet,M,Rostov-on-Don,Moscow,$5.89
48-5469834,Hourahan,M,Stavropol,Moscow,$9.89
70-4523744,Nicklin,F,Rostov-on-Don,Moscow,$14.94
41-2329567,Satch,M,Voronezh,Voronezh,$11.00
44-4694837,MacMenamy,M,Voronezh,Moscow,$5.12
40-5588943,Henke,M,Voronezh,Voronezh,$11.82
39-9086517,Braine,F,Moscow,Stavropol,$14.11
70-2350781,Bereford,M,Stavropol,Moscow,$12.43
96-4481354,Grise,F,Moscow,Voronezh,$11.77
23-0299554,Annett,F,Stavropol,Moscow,$13.55
76-1494443,Ralston,M,Moscow,Rostov-on-Don,$11.93
55-7369127,Rough,F,Voronezh,Voronezh,$5.47
70-4588008,Malser,M,Voronezh,Stavropol,$6.37
98-4210063,Aspinwall,F,Rostov-on-Don,Voronezh,$12.82
02-8991674,Annatt,F,Stavropol,Moscow,$6.31
13-1104507,Balser,M,Stavropol,Voronezh,$14.18
23-8032162,Coneybeare,M,Moscow,Moscow,$9.36
54-7218210,Blowers,F,Voronezh,Voronezh,$11.93
79-7775800,Greatrex,F,Moscow,Moscow,$10.81
74-3558300,Maciaszczyk,F,Moscow,Moscow,$10.54
13-3849248,Huglin,F,Voronezh,Voronezh,$13.02
98-1253099,Sacker,M,Voronezh,Moscow,$14.79
18-7128909,Mariolle,M,Moscow,Stavropol,$13.06
96-3534055,Tregaskis,M,Voronezh,Voronezh,$6.12
48-6241061,Tidd,M,Stavropol,Rostov-on-Don,$5.98
16-6200535,Clarke-Williams,F,Moscow,Stavropol,$11.70
02-2198353,Newson,F,Rostov-on-Don,Moscow,$14.29
90-7720684,Adamsky,F,Voronezh,Rostov-on-Don,$9.62
77-0323777,Grinaugh,F,Voronezh,Voronezh,$14.34
88-1824558,Timlin,F,Rostov-on-Don,Rostov-on-Don,$7.18
65-6916229,Delamaine,M,Moscow,Stavropol,$9.85
26-8207312,Gidman,M,Stavropol,Moscow,$7.22
52-7673438,Dahmel,M,Voronezh,Moscow,$7.26
31-8288880,Klouz,M,Rostov-on-Don,Stavropol,$13.95
39-6245572,Gregg,F,Voronezh,Moscow,$11.60
85-7483040,Coolahan,F,Voronezh,Voronezh,$11.38
06-9329107,Odby,M,Rostov-on-Don,Voronezh,$9.16
89-7786805,Cartmael,F,Moscow,Moscow,$5.55
29-3013555,Heaker,M,Moscow,Stavropol,$5.78
94-1740261,Mundell,M,Moscow,Moscow,$7.12
64-7660119,Totaro,M,Stavropol,Rostov-on-Don,$13.61
63-7455750,Ciepluch,F,Stavropol,Stavropol,$13.09
97-1645256,McQuin,M,Rostov-on-Don,Moscow,$10.54
01-0780848,Andrioni,M,Moscow,Stavropol,$12.35
89-5019526,Atchly,M,Rostov-on-Don,Moscow,$8.38
03-6707874,Hughes,F,Stavropol,Stavropol,$13.66
44-9816138,Arstingall,M,Stavropol,Voronezh,$9.26
16-5530245,Feak,M,Stavropol,Rostov-on-Don,$11.86
14-8693972,Dunbleton,F,Voronezh,Rostov-on-Don,$13.68
34-4562493,Shory,M,Rostov-on-Don,Voronezh,$10.96
02-4054651,Litchfield,F,Stavropol,Voronezh,$14.53
38-5711098,Garralts,M,Moscow,Rostov-on-Don,$10.60
75-4669242,Slora,F,Voronezh,Stavropol,$5.03
